tile_name,area_ha_projected,distance_to_2022_m
dop20rgbi_32_356_5502_2_rp_2023_020_015,0.042711871896497555,2575.200004025304
dop20rgbi_32_356_5504_2_rp_2023_001_009,0.14120000000029337,3555.8361150385927
dop20rgbi_32_356_5504_2_rp_2023_001_009,0.01019267199772696,3508.407906723813
dop20rgbi_32_356_5504_2_rp_2023_001_010,0.11451248625253763,3461.276783620207
dop20rgbi_32_356_5504_2_rp_2023_001_011,0.48571999998759613,3314.2134681484704
dop20rgbi_32_356_5504_2_rp_2023_001_012,0.7383386239914266,3217.382996893592
dop20rgbi_32_356_5504_2_rp_2023_001_012,0.00010348799993959068,3243.1588031967244
dop20rgbi_32_356_5504_2_rp_2023_001_013,0.0012259839997371324,3120.687110911205
dop20rgbi_32_356_5504_2_rp_2023_001_013,0.5646698879885539,3152.3012318853016
dop20rgbi_32_356_5504_2_rp_2023_001_014,0.011094015996626053,3095.2136250065973
dop20rgbi_32_356_5504_2_rp_2023_001_015,0.025623936000517517,2952.888979397203
dop20rgbi_32_356_5504_2_rp_2023_001_016,0.0010392000001010018,2831.840873533278
dop20rgbi_32_356_5504_2_rp_2023_001_016,0.008920064000189012,2943.8232475847394
dop20rgbi_32_356_5504_2_rp_2023_001_017,0.024192799998497008,2809.6307105327883
dop20rgbi_32_356_5504_2_rp_2023_001_017,0.0226668799999113,2757.82813692733
dop20rgbi_32_356_5504_2_rp_2023_001_018,0.12256512000360192,2706.466871092102
dop20rgbi_32_356_5504_2_rp_2023_001_020,0.7502492159990649,2474.843966651234
dop20rgbi_32_356_5504_2_rp_2023_002_009,0.004893448989843973,3525.6488769143753
dop20rgbi_32_356_5504_2_rp_2023_002_009,0.0106469120021992,3504.3581961030845
dop20rgbi_32_356_5504_2_rp_2023_002_009,0.038724141756531744,3544.392447188609
dop20rgbi_32_356_5504_2_rp_2023_002_011,0.288991968011798,3300.7864499636144
dop20rgbi_32_356_5504_2_rp_2023_002_011,0.26055409541144436,3291.0316212361454
dop20rgbi_32_356_5504_2_rp_2023_002_012,0.12533670400036526,3202.8877430619714
dop20rgbi_32_356_5504_2_rp_2023_002_012,0.07131200000243218,3240.1471644041453
dop20rgbi_32_356_5504_2_rp_2023_002_012,0.12916803200455437,3266.7669230775505
dop20rgbi_32_356_5504_2_rp_2023_002_012,0.002487039999712547,3285.2058917949903
dop20rgbi_32_356_5504_2_rp_2023_002_013,0.08146777600042741,3109.3446684619394
dop20rgbi_32_356_5504_2_rp_2023_002_013,0.21653529599743143,3148.584171292186
dop20rgbi_32_356_5504_2_rp_2023_002_014,0.07354022400203596,3091.7564343243
dop20rgbi_32_356_5504_2_rp_2023_002_016,0.09965226329080162,2821.843994045126
dop20rgbi_32_356_5504_2_rp_2023_002_016,3.744000012226403e-06,2831.500838684418
dop20rgbi_32_356_5504_2_rp_2023_002_016,0.007086176000284616,2808.563903123369
dop20rgbi_32_356_5504_2_rp_2023_002_017,0.08754713600105207,2787.477179938537
dop20rgbi_32_356_5504_2_rp_2023_002_017,0.10160182400024105,2764.5277426990297
dop20rgbi_32_356_5504_2_rp_2023_002_019,0.14319612800542328,2537.984814726644
dop20rgbi_32_356_5504_2_rp_2023_002_020,0.001599999999917345,2476.3503588657736
dop20rgbi_32_356_5504_2_rp_2023_002_020,0.06645187200464212,2501.1102048365215
dop20rgbi_32_356_5504_2_rp_2023_003_008,0.015388564653748072,3578.3678241989146
dop20rgbi_32_356_5504_2_rp_2023_003_011,0.7115048270099632,3281.693902419377
dop20rgbi_32_356_5504_2_rp_2023_003_012,0.023447968000011706,3278.869175494369
dop20rgbi_32_356_5504_2_rp_2023_004_009,0.16009772680467227,3465.1550699551244
dop20rgbi_32_356_5504_2_rp_2023_004_010,0.001392122736806932,3463.3353161988334
dop20rgbi_32_356_5504_2_rp_2023_004_012,0.13674277948536193,3190.026538668138
dop20rgbi_32_356_5504_2_rp_2023_004_013,0.27682131200326193,3056.0972568802176
dop20rgbi_32_356_5504_2_rp_2023_005_012,0.024642841801352577,3175.6632563848516
dop20rgbi_32_356_5504_2_rp_2023_005_012,0.027950518666892007,3137.3072790561205
dop20rgbi_32_356_5504_2_rp_2023_005_012,0.037514080000347914,3140.104935650608
dop20rgbi_32_356_5504_2_rp_2023_005_013,0.8295113599952796,3041.949290653395
dop20rgbi_32_356_5504_2_rp_2023_005_014,0.01714383999923884,3040.991207451509
